"","MKCD_SVM","SVM"
"RMSE",33731.1800658794,23945.789603805
"MAE",28014.9434476154,22968.1481986332
"MAPE",80.180535041406,68.9845307186579
"ARV",1.30501591635579,1.73002190910457
