"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","A","B","mk_pvalue","S","Class"
"68",22075,26314,32243,32235,32287,32416,29877,1273.35714285714,24541.8571428571,0.13312848419606,11,"None"
"69",26314,32243,32235,32287,32416,29877,31381,380.357142857144,29443.2857142857,0.76389059347054,3,"None"
"70",32243,32235,32287,32416,29877,31381,30767,-305.214285714285,32821.7142857143,0.367520738242143,-7,"None"
"71",32235,32287,32416,29877,31381,30767,31192,-257.285714285714,32479.8571428571,0.367520738242143,-7,"None"
"72",32287,32416,29877,31381,30767,31192,35941,335.857142857143,30636.7142857143,1,1,"None"
"73",32416,29877,31381,30767,31192,35941,34415,640.571428571429,29721.8571428571,0.367520738242143,7,"None"
"74",29877,31381,30767,31192,35941,34415,29130,321.464285714285,30528.8571428572,0.76389059347054,3,"None"
"75",31381,30767,31192,35941,34415,29130,27255,-443.892857142857,33215.7142857143,0.367520738242143,-7,"None"
"76",30767,31192,35941,34415,29130,27255,26930,-935.571428571428,34546.5714285714,0.13312848419606,-11,"None"
"77",31192,35941,34415,29130,27255,26930,28781,-1157.67857142857,35151.2857142857,0.0715054164448745,-13,"None"
"78",35941,34415,29130,27255,26930,28781,25440,-1606.10714285714,36123.2857142857,0.0162609367804503,-17,"Negative"
"79",34415,29130,27255,26930,28781,25440,30035,-678.357142857141,31568.5714285714,0.367520738242143,-7,"None"
"80",29130,27255,26930,28781,25440,30035,33030,563.214285714286,26404.4285714286,0.548005572361309,5,"None"
"81",27255,26930,28781,25440,30035,33030,27932,553.035714285715,26274,0.367520738242143,7,"None"
"82",26930,28781,25440,30035,33030,27932,26096,121.071428571429,27836.2857142857,1,1,"None"
"83",28781,25440,30035,33030,27932,26096,29828,83.9285714285741,28398.8571428571,1,1,"None"
"84",25440,30035,33030,27932,26096,29828,25917,-211.321428571426,29170.7142857143,0.76389059347054,-3,"None"
"85",30035,33030,27932,26096,29828,25917,28859,-566.357142857142,31079.2857142857,0.22955621387892,-9,"None"
"86",33030,27932,26096,29828,25917,28859,33570,117.678571428571,28848.1428571429,1,1,"None"
"87",27932,26096,29828,25917,28859,33570,32327,970.142857142858,25337.8571428571,0.22955621387892,9,"None"
