"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","A","B","mk_pvalue","S","Class"
"35",1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,60.2324675324675,-353.128571428571,2.61333494545398e-08,185,"Positive"
"36",1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,86.3142857142857,-513.552380952381,1.9185474526261e-08,187,"Positive"
"37",1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,132.803896103896,-810.985714285713,1.63438587182298e-08,188,"Positive"
"38",8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,197.783116883117,-1222.61428571428,1.63438587182298e-08,188,"Positive"
"39",7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,249.763636363636,-1509.30476190476,1.63438587182298e-08,188,"Positive"
"40",23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,331.331168831169,-1984.35714285714,1.63438587182298e-08,188,"Positive"
"41",19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,432.327272727273,-2561.26666666667,1.1483747690364e-08,190,"Positive"
"42",33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,510.662337662338,-2918.19047619048,1.63438587182298e-08,188,"Positive"
"43",77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,594.431168831169,-3265.88571428571,1.63438587182298e-08,188,"Positive"
"44",53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,738.167532467532,-4000.36666666666,8.0402594584727e-09,192,"Positive"
