"","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class","nStepAhead"
"322",215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,-1389.07833594977,213319.613029827,0.00102093399997058,-61,"Negative",229367.428571429
"323",216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,-994.200941915231,209394.966248038,0.0160061551531633,-45,"None",225202.428571429
"324",213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,-470.802982731556,204602.343799058,0.273561411724749,-21,"None",220046.357142857
"325",203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,189.228414442697,199403.587912088,0.826665969670155,5,"None",214023.857142857
"326",203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,928.572370486653,195334.441915228,0.188887477539538,25,"None",206697.428571429
"327",201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,1672.28147566719,191372.53689168,0.0160061551531633,45,"None",200123.5
"328",200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,2358.41664050235,188300.620094192,0.00102093399997058,61,"Positive",194249.428571429
"329",199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,2954.33861852433,186208.322605965,8.0929046398655e-05,73,"Positive",189748.5
"330",198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,3435.25180533752,185165.713500785,7.15310990382046e-06,83,"Positive",184078.214285714
"331",198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,3721.02574568289,185636.266091052,4.25399206713995e-06,85,"Positive",178570.357142857
"332",191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,3836.36169544741,187406.338304553,4.25399206713995e-06,85,"Positive",173830.785714286
"333",199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,3739.88649921507,191722.458398744,4.25399206713995e-06,85,"Positive",168384.071428571
"334",200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,3476.29152276295,196234.3288854,3.17396401376735e-05,77,"Positive",164147.142857143
"335",199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,3042.98178963893,201754.044740973,0.000302484708595623,67,"Positive",159449
"336",202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,2351.64976452119,209075.723704867,0.00619562249890606,51,"Positive",158862
"337",203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,1496.91161695447,217136.770015699,0.100518173207465,31,"None",154475.928571429
"338",209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,454.106750392462,226108.250392465,0.742556821926578,7,"None",150076.428571429
"339",223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,-634.001726844584,234561.273155416,0.324423690521579,-19,"None",145088.857142857
"340",226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,-1488.74693877551,239742.632653061,0.0285390635703624,-41,"None",141066.357142857
"341",230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,-2370.06781789639,244468.263736264,0.00149731387847716,-59,"Negative",136306.714285714
"342",233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,-3167.54803767661,247851.462323391,8.0929046398655e-05,-73,"Negative",133351.571428571
"343",235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,-3838.78430141288,249760.565934066,7.15310990382046e-06,-83,"Negative",128949.714285714
"344",235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,-4416.68948194663,250428.120094192,4.25399206713995e-06,-85,"Negative",125239
