"","x21","x20","x19","x18","x17","x16","x15","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class"
"1",1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,-0.0176252319109462,1.35034013605442,3.31734988977995e-05,-135,"Negative"
"2",1.35714285714286,1.35714285714286,1.35714285714286,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,-0.0158627087198516,1.31734693877551,0.000116625786568317,-125,"Negative"
"3",1.35714285714286,1.35714285714286,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,-0.0137291280148423,1.28027210884354,0.000460305509024038,-113,"Negative"
"4",1.35714285714286,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,-0.0112244897959184,1.2391156462585,0.00196532470816971,-99,"Negative"
"5",1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,-0.00185528756957328,1.14625850340136,0.0669536595406235,-59,"None"
"6",1.21428571428571,1.21428571428571,1.21428571428571,1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,0.010760667903525,1.04489795918367,0.450215655620814,-25,"None"
"7",1.21428571428571,1.21428571428571,1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,0.0427643784786642,0.805102040816327,0.82611912195366,8,"None"
"8",1.21428571428571,1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,4.85714285714286,0.088404452690167,0.476530612244898,0.221580468042879,40,"None"
"9",1.21428571428571,1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,4.85714285714286,7.14285714285714,0.15899814471243,-0.0176870748299311,0.028317452015584,71,"None"
"10",1.14285714285714,1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,4.85714285714286,7.14285714285714,12.5714285714286,0.29239332096475,-0.944217687074829,0.00173231487751933,101,"Positive"
"11",1.14285714285714,1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,4.85714285714286,7.14285714285714,12.5714285714286,16.2142857142857,0.457328385899814,-2.04081632653061,8.08070776557e-05,127,"Positive"
"12",1.14285714285714,1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,4.85714285714286,7.14285714285714,12.5714285714286,16.2142857142857,28,0.755751391465677,-4.04455782312925,2.33737638130131e-06,152,"Positive"
"13",1,1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,4.85714285714286,7.14285714285714,12.5714285714286,16.2142857142857,28,36.2142857142857,1.12597402597403,-6.4469387755102,4.44197213474105e-08,176,"Positive"
"14",1,1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,4.85714285714286,7.14285714285714,12.5714285714286,16.2142857142857,28,36.2142857142857,41.5,1.51725417439703,-8.82244897959183,2.81503536646091e-08,179,"Positive"
"15",1,1,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.07142857142857,1.57142857142857,2,3.57142857142857,4.85714285714286,7.14285714285714,12.5714285714286,16.2142857142857,28,36.2142857142857,41.5,54.8571428571429,2.02940630797774,-11.8914965986395,2.05050480899552e-08,181,"Positive"
