"","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class"
"43",77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,154.90989010989,-514.538461538462,8.0929046398655e-05,73,"Positive"
"44",53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,246.015384615385,-882.32967032967,3.17396401376735e-05,77,"Positive"
"45",166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,370.428571428571,-1364.42857142857,3.17396401376735e-05,77,"Positive"
"46",116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,460.184615384615,-1621.24175824176,1.95384089480406e-05,79,"Positive"
"47",75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,604.898901098901,-2081.0989010989,1.18902146234557e-05,81,"Positive"
"48",188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,777.340659340659,-2577.05494505495,1.18902146234557e-05,81,"Positive"
"49",365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,886.753846153846,-2652.58241758242,1.95384089480406e-05,79,"Positive"
"50",439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,997.951648351648,-2649.63736263736,1.18902146234557e-05,81,"Positive"
"51",633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,1225.05714285714,-3108.85714285714,7.15310990382046e-06,83,"Positive"
"52",759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,1405.82857142857,-3174.85714285714,4.25399206713995e-06,85,"Positive"
"53",234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,1538.23956043956,-2820.01098901099,2.50084819391422e-06,87,"Positive"
"54",1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,1549.50769230769,-1571.30769230769,4.25399206713995e-06,85,"Positive"
"55",1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,1610.12307692308,-553.923076923077,4.25399206713995e-06,85,"Positive"
"56",2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,1713.33406593407,420.637362637366,4.25399206713995e-06,85,"Positive"
"57",4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,1905.5010989011,1092.67032967033,4.25399206713995e-06,85,"Positive"
"58",6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,2027.95164835165,2155.7912087912,7.15310990382046e-06,83,"Positive"
"59",5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,2091.6967032967,3529.13186813186,4.25399206713995e-06,85,"Positive"
"60",8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,2032.92967032967,5857.0989010989,4.25399206713995e-06,85,"Positive"
"61",11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,1880.36263736264,8501.63736263736,3.17396401376735e-05,77,"Positive"
"62",10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,1756.40879120879,10870.0769230769,0.000127032217098857,71,"Positive"
"63",12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,1505.96483516483,14187.5494505495,0.00102093399997058,61,"Positive"
"64",17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,1227.33186813187,17642.2967032967,0.00619562249890606,51,"Positive"
"65",18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,1190.73626373626,19208.5494505495,0.00619562249890606,51,"Positive"
"66",19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,1058.54065934066,21323.2307692308,0.00859504637602393,49,"Positive"
"67",18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,737.213186813186,24411.7582417582,0.100518173207465,31,"None"
"68",22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,296.457142857142,28314.2857142857,0.661415917007863,9,"None"
"69",26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,-85.61098901099,31526.5824175824,0.443421402864083,-15,"None"
"70",32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,-296.386813186814,33283.6153846154,0.0487449207397066,-37,"None"
"71",32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,-418.002197802198,33709.8021978022,0.0160061551531633,-45,"None"
"72",32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,-378.692307692308,33257.8351648352,0.0285390635703624,-41,"None"
"73",32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,-242.426373626374,32288.9120879121,0.188887477539538,-25,"None"
"74",29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,-250.83076923077,32031.6593406593,0.188887477539538,-25,"None"
"75",31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,-375.685714285714,32698,0.0487449207397066,-37,"None"
"76",30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,-327.70989010989,32227.2527472527,0.125311111389424,-29,"None"
"77",31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,-404.892307692309,32459.6923076923,0.0626981162609826,-35,"None"
"78",35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,-362.687912087912,31976.5164835165,0.154629751965815,-27,"None"
"79",34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,-19.0681318681323,29230.010989011,0.912814027184075,-3,"None"
"80",29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,249.151648351649,27069.2197802198,0.324423690521579,19,"None"
"81",27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,297.147252747252,26799.6813186813,0.125311111389424,29,"None"
"82",26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,166.47912087912,27725.8351648352,0.381074481609294,17,"None"
"83",28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,-51.5318681318686,29130.4175824176,1,-1,"None"
"84",25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,-169.364835164836,29713.8791208791,0.511220344688192,-13,"None"
"85",30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,-325.69010989011,30957.6043956044,0.154629751965815,-27,"None"
"86",33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,-255.432967032968,30372.4615384615,0.324423690521579,-19,"None"
"87",27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,80.171428571428,27990.8571428571,0.826665969670155,5,"None"
"88",26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,22.9186813186808,28378.6813186813,0.912814027184075,3,"None"
"89",29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,-179.531868131868,29768.5604395604,0.443421402864083,-15,"None"
"90",25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,-257.098901098901,29940.0989010989,0.273561411724749,-21,"None"
"91",28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,-425.613186813188,31104.9560439561,0.0798019286423907,-33,"None"
"92",33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,-490.246153846154,31282.5604395604,0.0626981162609826,-35,"None"
"93",32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,-299.156043956045,29409.5274725275,0.324423690521579,-19,"None"
"94",30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,-138.347252747253,27811.4615384615,0.826665969670155,-5,"None"
