"","MKCD_SVM","SVM"
"RMSE",22929.7690184122,22267.0010692082
"MAE",21369.4249465479,20686.8621120893
"MAPE",61.4888400236662,59.2824881363074
"ARV",2.3292606011138,2.354027352388
