"MKCD_SVM","SVM"
66463.9157693904,62233.7109236633
59200.6306316012,62936.6575278515
57481.5257130646,65913.7724183282
60909.1867180005,62224.2136942356
64986.940666961,61078.0054651224
68539.2980218478,64920.9962957728
70982.7734375426,71173.1158370139
79633.2873914616,70657.7684440825
75726.1882365947,67085.701438274
69054.1863494189,69667.1243994444
68869.6347950338,73910.3322269402
67947.9724726645,73032.673845357
64806.0574798702,68401.6124340344
65740.6148360378,75668.5294538949
72080.9071515266,76180.7183151588
80175.8507203179,73011.5402264849
78945.5643266769,70618.1721604968
78146.8740927615,79368.1069762101
79633.2136889892,85738.0202340272
79486.9274173996,78467.0535605483
79778.8570827045,73742.4844124734
67819.0338910861,72224.7228675793
63946.9372111181,73424.2733788084
64210.3947794718,68479.3348793155
66970.2186769184,62942.9338685835
54368.8129223253,57607.3074663374
54110.8881827153,58961.6760503709
63291.732771814,56338.3926527587
66300.5207848819,55710.9454694246
66465.4809858777,59157.2040468471
56827.5517494352,57453.2738639771
45973.4166861396,51500.8484142287
46382.957562602,45364.7557714929
51302.915773768,49830.0235613925
54362.1222613193,53069.0468740159
52986.0970650239,51628.6395557639
50752.7321975367,48764.5330012794
53885.6371116981,51238.5200277739
55817.7984694723,53656.2502284037
57901.6650388669,57313.9333880152
59139.7133605271,57223.5332738988
53869.6326354565,54180.3989315049
51189.0123018352,53076.8706568176
58299.3502693285,56328.1500994295
57312.9180534126,56026.6621725372
54046.1924097799,52006.751531557
54828.2311606972,50386.0608033551
54850.9196731811,48730.2584098077
58300.7453767521,56025.2431550986
54132.1904502593,54826.3446038239
54879.1782886492,56285.7319388222
52152.3491699034,54121.1598391251
50662.2425261669,51518.0364706563
50539.6046921867,52515.4387272521
48453.6756834079,49534.1372670164
48722.821903787,47390.189742008
49783.8046756774,47320.3637195098
48285.0041520672,43081.2727697443
48033.5822687451,42317.6657043894
47312.3429950494,46287.4992101908
46914.2422858657,45867.541128334
39818.5830595651,40181.9377329733
33366.6108577306,32641.6381960824
37488.330514282,38004.1084214992
40404.4489590396,40786.9269735666
41498.167459058,38999.7665488248
