"MKCD_SVM","SVM"
61258.8982303018,57775.2037548382
61213.8138066659,59172.2923234896
61318.8359841332,60433.1737375576
61033.9666654499,57978.3394059905
71515.1330695455,58865.9553921745
79290.7447882953,61701.3009982649
84317.8386339815,64901.5966679186
66267.5624359554,64958.8588175257
66696.2935455639,62823.8699446848
66704.2441998773,62030.2701164651
66070.0168619799,64624.7794788354
64664.7149952691,66258.8979115792
63529.2696432788,63978.5176147357
66306.3283252383,68926.5719742585
69003.9865892687,71703.2145725968
70071.5878976119,71990.0458016955
69907.1832207192,69355.001864292
74191.0929603624,72704.8437468062
73427.6070722044,76503.8725006257
71002.7546947009,74569.29420397
74862.2717329464,72422.211974208
70659.8862680266,69782.1675569232
69420.72243608,70079.7340732807
67423.5264206257,70233.7938879369
66443.0714734677,67300.6983419374
52333.7103772957,58964.2300622011
49267.4907083268,58116.5846858269
61298.79528375,59952.3048763946
58390.8110401971,57188.2327032862
57075.6581728031,52995.6705261356
56378.2377754434,53080.7771660864
55826.3718767331,51988.6585137008
81420.1999720314,45951.4700312968
63310.3610950286,43957.6612658864
62209.0026486037,43932.8394070265
71158.822351436,43995.5621760103
70823.6635013049,42938.8000300086
71931.121432398,43157.2000582591
62334.9434726488,42215.6574477146
61825.5503837006,43568.4048315336
63309.5647218702,44849.5778627423
64053.7422310655,41606.2824149527
45459.7454232122,38031.2353859384
53506.526188929,42505.2752499746
57289.8600554369,43738.0301857126
44124.9150387433,39238.6975204477
31929.5760696247,37467.867015518
38053.0525783859,39359.7489055764
60285.7324697981,46800.3499649614
57198.1378198569,45158.9471638135
46087.9530949418,43352.3244698904
38475.1186179586,42754.3871660932
44320.8582636438,43512.3176863531
45200.868297372,43771.0406627578
40527.8079353181,42283.4457913096
28773.7614121266,40389.6883224348
35314.3548099053,41310.2098240548
40464.472099271,41970.8593122537
41581.1146267569,41861.2167027861
32371.2079411858,39955.514168077
31711.5081415076,39401.976013446
41564.8064722057,37712.6588816304
31790.5438564513,32244.6600224076
27742.0691739912,32646.1716492672
20624.0455921675,34068.7899532461
37000.6813105029,35488.0203537019
31964.2561506993,32674.9406296604
29498.8771414958,30635.5151037045
28936.0532162944,31386.2592777068
32077.7983201219,31865.3334357009
32279.1049803611,32098.8566452326
27252.8865495208,29984.8698411097
23715.8849554375,30423.3658019125
32039.5418904651,33730.1116586184
31848.1143849159,33804.8681716772
21355.6960636039,33411.6113150166
15744.1690237625,29452.1102863296
13121.8666961804,29184.2967920353
31124.3317384181,31002.7943989098
20045.208670444,31220.8509442426
