"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","A","B","mk_pvalue","S","Class"
"1",0.714285714285714,0.785714285714286,0.714285714285714,0.714285714285714,0.5,0.5,0.571428571428571,0.5,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,-0.0386185243328101,0.810047095761382,0.000182911728181054,-68,"Negative"
"2",0.785714285714286,0.714285714285714,0.714285714285714,0.5,0.5,0.571428571428571,0.5,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,-0.0409733124018839,0.791993720565149,0.000116581420090514,-70,"Negative"
"3",0.714285714285714,0.714285714285714,0.5,0.5,0.571428571428571,0.5,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,-0.0408163265306123,0.744897959183674,0.000116581420090514,-70,"Negative"
"4",0.714285714285714,0.5,0.5,0.571428571428571,0.5,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,-0.0361067503924647,0.678963893249608,0.000546397826178688,-63,"Negative"
"5",0.5,0.5,0.571428571428571,0.5,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,-0.0295133437990581,0.598901098901099,0.00307930109641238,-54,"Negative"
"6",0.5,0.571428571428571,0.5,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,-0.0281004709576138,0.572998430141287,0.00621278548770556,-50,"Negative"
"7",0.571428571428571,0.5,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,-0.02574568288854,0.540031397174254,0.0156752017123664,-44,"Negative"
"8",0.5,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,-0.0221350078492936,0.487441130298273,0.0274130647112893,-40,"Negative"
"9",0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,-0.019309262166405,0.445839874411303,0.0449427171486769,-36,"Negative"
"10",0.428571428571429,0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,-0.01287284144427,0.372056514913658,0.101886169798082,-29,"None"
"11",0.428571428571429,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,-0.00957613814756671,0.332025117739403,0.188330243170859,-23,"None"
"12",0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.785714285714286,0.010989010989011,0.203296703296703,0.952402207678699,2,"None"
"13",0.214285714285714,0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.785714285714286,1.28571428571429,0.0442700156985871,0.0149136577708006,0.135630915335552,26,"None"
"14",0.214285714285714,0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.785714285714286,1.28571428571429,2.92857142857143,0.113657770800628,-0.311616954474097,0.0553740477651045,34,"None"
"15",0.214285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.785714285714286,1.28571428571429,2.92857142857143,4.28571428571429,0.20989010989011,-0.7425431711146,0.0227278175017131,41,"Positive"
"16",0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.785714285714286,1.28571428571429,2.92857142857143,4.28571428571429,6.64285714285714,0.355572998430141,-1.37598116169545,0.00970016359755818,47,"Positive"
"17",0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.785714285714286,1.28571428571429,2.92857142857143,4.28571428571429,6.64285714285714,12.1428571428571,0.627786499215071,-2.56043956043956,0.00970016359755818,47,"Positive"
"18",0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.785714285714286,1.28571428571429,2.92857142857143,4.28571428571429,6.64285714285714,12.1428571428571,15.7857142857143,0.956043956043956,-3.91522762951335,0.00147387301713606,58,"Positive"
