"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","x_22","x_23","x_24","x_25","x_26","x_27","x_28","x_29","x_30","x_31","x_32","x_33","x_34","x_35","x_36","x_37","x_38","x_39","x_40","x_41","x_42","x_43","x_44","x_45","x_46","x_47","x_48","x_49","x_50","A","B","mk_pvalue","S","Class"
"267",68560.7142857143,70434.6428571429,72574.7142857143,74936.3571428571,78905.8571428571,80158.0714285714,84811.5714285714,87765.1428571429,91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,2982.43948893843,70505.1544606414,0.0000000000000000000000103936127352668,1201,"Positive"
"268",70434.6428571429,72574.7142857143,74936.3571428571,78905.8571428571,80158.0714285714,84811.5714285714,87765.1428571429,91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,2957.1825758875,74118.0586005831,0.0000000000000000000000103936127352668,1201,"Positive"
"269",72574.7142857143,74936.3571428571,78905.8571428571,80158.0714285714,84811.5714285714,87765.1428571429,91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,2925.47716686675,77885.2779591837,0.0000000000000000000000103936127352668,1201,"Positive"
"270",74936.3571428571,78905.8571428571,80158.0714285714,84811.5714285714,87765.1428571429,91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,2880.83002915452,81905.9213994169,0.0000000000000000000000145816988725599,1197,"Positive"
"271",78905.8571428571,80158.0714285714,84811.5714285714,87765.1428571429,91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,2829.25862459269,86065.5222157434,0.0000000000000000000000172642737486913,1195,"Positive"
"272",80158.0714285714,84811.5714285714,87765.1428571429,91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,2774.46150574515,90234.04303207,0.0000000000000000000000204346922282505,1193,"Positive"
"273",84811.5714285714,87765.1428571429,91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,2704.98313839822,94714.1442565598,0.0000000000000000000000558674192207576,1181,"Positive"
"274",87765.1428571429,91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,2635.07640198937,99122.1360349853,0.000000000000000000000128185928157357,1171,"Positive"
"275",91551.7142857143,94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,2553.51877208026,103714.797026239,0.000000000000000000000477169671012007,1155,"Positive"
"276",94845.9285714286,98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,2445.24121419997,108709.711895044,0.00000000000000000000388912810422544,1129,"Positive"
