"MKCD_SVM","SVM"
-331982111.912499,16610.5901957925
-717276403.055328,16222.8481455199
-749069394.287622,15887.1887961489
-222726769.097015,14023.0451363192
-604295564.825409,14298.7183843805
-508205707.204249,11678.0942656757
-588201253.74184,13546.5114038597
-321714093.73411,13281.2905357189
-718447428.254659,14357.0437712701
-824759578.959678,16691.083590732
-661256562.039309,13866.41024406
-203710905.304927,12305.4671008564
-1081984432.37869,11491.6353476296
-789370931.0278,12967.5644468592
-1008736964.91018,12204.0925032031
-258583802.458372,12257.5112589072
-534113410.948801,11044.9888386526
-705544881.423843,11728.8302167174
-527067062.339841,10862.3760601842
-443903685.691422,10458.0183938639
-636838766.01747,12598.4544448556
-1542149323.77583,13386.7820305644
-339941481.800849,12825.7484475297
-814286410.96823,15460.8870994939
-402430596.278062,13450.4556635878
-739841000.313268,12952.1990524863
-394454673.804539,13994.6255444136
-1022422796.7808,17985.8423082267
-1400105129.91756,14153.1384720951
-436657419.348989,13785.6859416042
-896011967.998852,10961.8286440869
18237.0499002549,16321.7316056739
63563.7804379973,18192.5438668667
35682.6329991516,18549.5914790384
17678.4575004623,25314.7910677275
59777.8851743089,23085.4775550875
59877.9353256491,19146.573145529
60029.5925383896,26478.710700538
60219.0051202121,27302.7256668237
60463.7732286218,27760.7445321294
60742.1654272306,29559.4828023748
61131.8067210216,42424.022286624
61539.7298586882,35530.3484009668
61967.2752418714,30917.8164195674
62491.9975520054,42567.0557420278
63058.0404565789,43179.406924106
63687.2441758978,43864.190995229
64388.3689605286,51416.7472618506
65225.7739468443,67533.3164512217
66113.4166788661,58312.6270851962
67017.4949986065,47334.1258175238
68061.0667960117,61385.7224805664
69173.7347992506,68902.4894927628
70345.4942412092,66963.5639711328
71611.9181092571,73551.897418552
73079.9676307097,106380.208876014
74588.6252201857,88756.0813775473
76121.9444140762,72463.0850833354
77782.959454761,96436.0446131539
79554.3516428048,103208.892448951
81374.9633192474,94801.8765031031
83283.391959685,103117.086575072
85383.6356920743,139443.834263986
87503.832532399,116507.524694088
89631.4271278847,96290.4555964279
91870.0963678129,126235.234337102
94155.0345101493,123726.170454676
96525.5045650851,125662.873232968
98900.6646030798,129806.974183212
101336.194837074,153630.6413375
103759.027983542,132719.847447365
106201.822168374,118829.859806358
108712.081974653,143616.399010918
111181.092841421,143860.66447623
113672.142716307,139115.695304246
116115.998544433,144019.766144152
118447.650488372,166486.815531558
120784.577066671,150761.635351146
123115.959509237,136512.44551962
125381.521176774,154403.636280301
127569.026055404,156268.536825025
129697.577769991,148834.366384934
131803.295783991,160884.643176197
133671.52493552,170242.241027565
135530.999461084,154300.881305025
137367.345596198,145863.876510735
139095.472457043,168154.781097214
