"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","A","B","mk_pvalue","S","Class"
"1",0.206455125564012,0.206455125564012,0.206455125564012,0.206455125564012,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,-0.015934507001563,0.241019625183811,5.89491656067087e-05,-71,"Negative"
"2",0.206455125564012,0.206455125564012,0.206455125564012,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,-0.0166058831583944,0.231308151676903,4.93255678897335e-05,-72,"Negative"
"3",0.206455125564012,0.206455125564012,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,0,-0.0163697642578016,0.214790465239313,5.89491656067087e-05,-71,"Negative"
"4",0.206455125564012,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,0,0.0495105128971389,-0.0138115642170092,0.184393635457164,0.000306974248375109,-64,"Negative"
"5",0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,0,0.0495105128971389,0.0495105128971389,-0.0105634977469118,0.148822807455229,0.00194298411892684,-55,"Negative"
"6",0.127982819230575,0.127982819230575,0.127982819230575,0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,-0.00921256395740299,0.13308563929581,0.00632144331204971,-49,"Negative"
"7",0.127982819230575,0.127982819230575,0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,-0.00751669695324171,0.114761472026498,0.0228747245865399,-41,"None"
"8",0.127982819230575,0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,-0.00547589673442796,0.0938503056472922,0.0851488733946131,-31,"None"
"9",0.127982819230575,0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,-0.00309016330096174,0.070352140158193,0.292996314059293,-19,"None"
"10",0.0784723063334364,0.0784723063334364,0.0784723063334364,0,0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,-0.000359496652843064,0.0442669755592003,0.810069240506394,-5,"None"
"11",0.0784723063334364,0.0784723063334364,0,0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0010838884990334,0.0313728873889627,0.663388954769177,8,"None"
"12",0.0784723063334364,0,0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.198042051588556,0.00689833648576922,-0.00369477642190462,0.0470523001721436,33,"None"
"13",0,0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.198042051588556,0.337035633663935,0.0161584483768341,-0.0546768065098552,0.000510470752145818,57,"Positive"
"14",0,0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.198042051588556,0.337035633663935,0.560999506230303,0.0280939868474598,-0.104121951737384,0.000287152286946168,60,"Positive"
"15",0,0,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.0495105128971389,0.198042051588556,0.337035633663935,0.560999506230303,0.771316576170763,0.0435726525637238,-0.165117903454309,0.000190864179211382,62,"Positive"
