"","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class"
"1",0,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0.00939926619563967,0.135960629096714,0.757387468933412,5,"None"
"2",0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,-0.00330566460829951,0.231247610126258,1,-1,"None"
"3",0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,-0.0160105954122387,0.326534591155802,0.643099199543613,-7,"None"
"4",1.09861228866811,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,-0.0287155262161779,0.421821572185346,0.354061574507851,-13,"None"
"5",0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,-0.00520246948160796,0.167001340342635,0.855725415320072,-3,"None"
"6",0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,-0.0130783352804126,0.22607033383367,0.585440934568927,-7,"None"
"7",0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,-0.0209542010792172,0.285139327324705,0.363302140886898,-11,"None"
"8",0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,-0.0288300668780219,0.344208320815739,0.203114836343131,-15,"None"
"9",0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,-0.0367059326768265,0.403277314306774,0.101763504951258,-19,"None"
"10",0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,-0.0217307925231055,0.241453250256728,0.321061992253907,-9,"None"
"11",0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,-0.02655985752824,0.277671237795237,0.214846947405649,-11,"None"
"12",1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313889225333745,0.313889225333746,0.136641004807483,-13,"None"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"None"
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"None"
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"None"
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"None"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.0198042051588556,-0.0990210257942779,0.136641004807483,13,"None"
"18",0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.0167574043651855,-0.0761700198417522,0.214846947405649,11,"None"
"19",0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.0137106035715154,-0.0533190138892266,0.321061992253907,9,"None"
"20",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.0106638027778453,-0.0304680079367009,0.456750402423169,7,"None"
"21",0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.00761700198417522,-0.00761700198417524,0.619796388494133,5,"None"
"22",0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.00457020119050513,0.0152340039683504,0.804080657471961,3,"None"
"23",0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.00152340039683504,0.0380850099208761,1,1,"None"
"24",0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,-0.00152340039683505,0.0609360158734018,1,-1,"None"
"25",0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,0.0548424142860616,-0.213276055556906,0.363302140886898,11,"None"
"26",0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,0.098252643941533,-0.399859195897562,0.143472316223903,20,"None"
"27",0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,0.167097538588761,-0.692232033185405,0.0446886308060568,30,"None"
"28",0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,0.216701320027696,-0.853943324036954,0.0205712083586906,37,"None"
"29",0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,0.269135900612933,-0.997452138321484,0.00723005671472586,45,"Positive"
"30",0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,0.330409727488501,-1.14673402404155,0.00271515771529837,52,"Positive"
"31",0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,0.384769095587743,-1.32034751814357,0.000212438125056244,64,"Positive"
"32",0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,0.434492308078356,-1.32812962694056,7.85533553476888e-05,70,"Positive"
"33",0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,0.451505313226188,-1.1161850090417,5.25642144308973e-05,73,"Positive"
"34",0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,0.435163357075947,-0.685228329805155,0.00010321744149514,71,"Positive"
"35",0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,0.426099255461408,-0.243215998922547,5.85653998564112e-05,74,"Positive"
"36",0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,0.412973694844942,0.276646945242554,3.92189759589792e-05,76,"Positive"
"37",0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,0.379188864044388,0.964640277180651,3.17396401376735e-05,77,"Positive"
"38",2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,0.329115295423497,1.80093992913335,3.17396401376735e-05,77,"Positive"
"39",1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,0.324427638668931,2.16128022877229,1.95384089480406e-05,79,"Positive"
"40",3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,0.261707146821415,2.8823561295074,0.000127032217098857,71,"Positive"
"41",2.94443897916644,3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,0.275224977362276,3.07779244060907,8.0929046398655e-05,73,"Positive"
"42",3.49650756146648,4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,0.270542276980475,3.43928914123496,8.0929046398655e-05,73,"Positive"
"43",4.34380542185368,3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,0.274581898071456,3.72245236764498,8.0929046398655e-05,73,"Positive"
"44",3.97029191355212,5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,0.302280131751518,3.80519368867963,3.17396401376735e-05,77,"Positive"
"45",5.11198778835654,4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,0.309743023163946,4.09126427211963,3.17396401376735e-05,77,"Positive"
"46",4.75359019110636,4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,0.332075410457508,4.17996374449685,1.95384089480406e-05,79,"Positive"
"47",4.31748811353631,5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,9.09076823683534,0.338029298157435,4.44510801858518,1.18902146234557e-05,81,"Positive"
"48",5.23644196282995,5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,9.09076823683534,9.32705617167214,0.317292759259272,4.95845835018824,1.18902146234557e-05,81,"Positive"
"49",5.89989735358249,6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,9.09076823683534,9.32705617167214,9.27040012840385,0.303212578736154,5.3521995730812,1.95384089480406e-05,79,"Positive"
"50",6.08449941307517,6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,9.09076823683534,9.32705617167214,9.27040012840385,9.39947202069869,0.296960638059131,5.64905874723859,1.18902146234557e-05,81,"Positive"
"51",6.45047042214418,6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,9.09076823683534,9.32705617167214,9.27040012840385,9.39947202069869,9.79009486518104,0.292572386473159,5.94665602356952,7.15310990382046e-06,83,"Positive"
"52",6.63200177739563,5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,9.09076823683534,9.32705617167214,9.27040012840385,9.39947202069869,9.79009486518104,9.83574390044961,0.285265039701066,6.2432663728106,4.25399206713995e-06,85,"Positive"
"53",5.4553211153577,7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,9.09076823683534,9.32705617167214,9.27040012840385,9.39947202069869,9.79009486518104,9.83574390044961,9.88481428727051,0.270463931172561,6.58661843747973,2.50084819391422e-06,87,"Positive"
"54",7.29097477814298,7.5137092478397,7.88495294575981,8.41049845274527,8.75888368001702,8.69868106746161,9.09076823683534,9.32705617167214,9.27040012840385,9.39947202069869,9.79009486518104,9.83574390044961,9.88481428727051,9.84686428959504,0.201488789852628,7.4176136526819,4.25399206713995e-06,85,"Positive"
