"","MKCD_SVM","SVM"
"RMSE",436109270.018894,7901.32303216436
"MAE",234802368.19312,5233.6149504858
"MAPE",1772940.56481628,9.39964355290465
"ARV",1.0000004160999,0.0218255931660755
