"MKCD_SVM","SVM"
179.150203149969,-6340.97307623058
193.455316312102,-6331.62917412943
203.202503544075,-6321.81504244334
209.062397958391,-6312.84116542204
223.323348273203,-6300.76082251105
253.162385813659,-6280.1029723867
293.285447371993,-6250.52036154325
348.137203126098,-6209.95297983551
408.669546067555,-6156.89050261982
421.949375824857,-6116.75735333025
540.132330266089,-6038.54043762259
694.88515434305,-5925.82674118594
929.04376911922,-5756.5637979544
1312.38647172187,-5488.11565949961
1836.30848203896,-5084.46418992756
2340.5706858412,-4608.53866532595
3070.52292234307,-3996.98683021592
3975.88440463228,-3213.4203501142
4832.751553393,-2357.3773408961
5775.30173411866,-1433.58408062873
7118.71873862628,-271.910016030393
8544.6529680253,1079.87539145249
10121.3070434558,2534.73594440184
11457.2726930896,3984.76463080657
12908.786457014,5534.08823365803
14773.7089109651,7268.99118759847
17177.296266506,9235.90990965618
19296.5763546918,11289.3195762127
21182.3917502664,13334.278340478
22915.4181831912,15359.3064590512
24309.9083201416,17128.8069453603
25792.5079440732,18693.8255128668
27161.2233256131,20043.5103805352
28194.1785142906,21270.0427559703
29409.8124319983,22446.7548216258
30458.5619162545,23476.4399547402
31063.945325498,24232.8609624602
31354.0588468213,24758.3986423264
31469.4544951435,25006.8925129022
31499.391171697,25043.8568388953
30932.6746571606,24682.7017684379
30632.0488965602,24330.388526381
30510.8380063267,24136.4602736943
30373.3087469703,23887.9939382035
30098.4610295029,23591.2499775328
29859.464193439,23331.7827763604
29397.9186514976,23170.3047090983
29503.2623149402,23056.3722901746
29160.4535643722,22973.5753633311
29059.0346204683,23062.5315161179
29389.2786816523,23295.7867285438
29350.2238992809,23497.2813866852
28738.1278637072,23595.4625751894
28422.7737160494,23539.4939103025
28385.9146585766,23508.3155497805
28319.0632285195,23414.3934361817
28531.0090908432,23457.7280941082
28520.9890301101,23445.397495836
28421.7295915576,23387.2469900401
27973.5931681451,23196.5205669097
27778.1657520903,22943.941703227
27441.6531734098,22600.8141720362
26909.3338059771,22139.1913023803
26469.3674404691,21640.0898968848
26023.9601536465,21181.0514736623
25495.6992997681,20705.2931468422
25194.2249298957,20218.3726508005
25059.5499807944,19859.1351263987
24627.0337852045,19500.5869457766
24530.6884597374,19254.7411618367
23781.2719346228,18790.0492247689
23544.9902876199,18541.8460131542
23094.1875115276,18219.9039492611
23012.3770480908,17967.532013985
22760.9769034476,17760.3123977614
22624.0519650301,17603.3871407499
22661.2914642081,17549.5566622842
22378.6898925542,17368.7954446722
22176.0946384722,17181.978439091
22163.7752139976,17060.9908761793
22224.6598800224,16999.7527647722
22028.632147858,16915.8478077301
21849.8776444747,16773.1822907278
21540.6421946562,16591.4516927873
21448.0169804297,16452.6498481911
21494.7906219518,16276.5783638599
21504.5276608183,16184.4339048654
21162.0089275239,15961.2472294555
21227.522884981,15873.9147830104
21030.1622765148,15748.4017063031
20703.0929868208,15523.1101489105
20875.2830206778,15451.6221112526
20788.3166643178,15360.5636601302
20765.9350460912,15341.9313348311
20644.1630389617,15275.7400249043
20590.026531243,15205.1564247947
20799.6575606649,15321.6673719916
20872.6877535966,15345.4113302622
20969.1985938204,15382.5743846571
20989.1264709261,15493.5459665739
21116.0006566732,15624.8610900356
21298.0464400869,15774.8009523672
21320.6643040859,15903.9442233906
22141.7440218973,16287.8363641516
22421.8729907709,16707.9916452477
23124.7273791255,17214.7622472612
23811.7354716432,17981.5471332619
24767.6844909738,18659.255318666
25958.4782707405,19628.2391062697
27284.5237835457,20805.371415539
28692.5080444139,22061.4814567907
30013.9976921306,23436.8514249913
31451.376375334,24929.3580253679
32728.1674278459,26414.13134795
34325.0855082173,27919.3074530036
36030.9920551214,29413.1326982409
37430.4640634925,31023.5192162319
39395.8010407178,32749.7830351364
41638.2711017458,34657.9820786956
42836.0849912144,36357.8403936219
43845.8046567185,37653.5368544807
45274.3332997187,39125.1260037099
45996.5342175238,40130.5417687589
48051.1336646328,41486.1227720246
49779.3220120555,42893.3917190797
51191.8495461137,44462.3528684317
53029.9428578819,46189.543324866
54156.558580502,47571.6649933026
