"MKCD_SVM","SVM"
71774.5224321182,14985.8717793308
71776.4769151576,14783.5324058304
71778.9498339541,14587.8390129342
71781.6867337424,14445.6141098828
71785.0398841697,14314.2842276056
71790.0252188918,14231.0441098778
71797.1875763453,14409.5589729326
71807.1485348673,15209.3348561406
71820.6682948592,17053.8711673723
71834.525562621,19473.3000487201
71854.1361835078,23673.1110672587
71881.9076792157,29422.773756329
71922.6294597351,34431.5433012159
71984.3976758831,35743.8047929714
72077.3785349886,36857.2646340965
72198.1210125836,37557.1850835158
72354.5497123492,38139.4222153112
72558.2629290432,38487.0909768115
72802.5593114531,38665.1086934894
73084.6021769131,38173.7502651016
73429.2558622958,38015.9401995329
73842.613878519,38068.7859588014
74313.4869771863,37784.9002301056
74827.9054203835,37508.2541823923
75396.1767934938,37362.377003644
76028.7631346549,37016.0042461398
76739.7113964275,36853.1021298678
77527.9975295274,36683.6671525394
78371.9295190343,36536.3816976435
79249.5355579965,36655.0315706623
80119.0008747297,36575.1327720094
80972.6282767906,36348.9825982554
81796.7840557765,36053.9447212306
82599.7174309668,36148.2541796141
83384.3962959931,36057.5646766815
84132.0075949002,36189.0913038816
84812.7701399848,36184.8970548776
85413.8034712338,36058.5398938999
85915.0648273767,35647.9488477675
86326.107324587,35516.0823484857
86627.6363021693,35207.3533556596
86850.0716351303,34740.5206429235
87007.6984759381,34372.8020846315
87080.9445532041,34031.3227133353
87064.9594756174,33450.4298556848
86988.2408077379,33135.1344095999
86888.4523989683,33017.7919880725
86760.2042907993,32584.9256672093
24850.9777751196,32415.7833010046
26842.9845904046,31689.5007973156
29233.2560622095,31459.4869324708
31434.8117260351,31038.0877989171
33610.0660520332,30916.384812903
36173.6985610817,30661.6826742345
55711.7831109365,30530.4279086376
55702.1414453777,30412.2628523593
55712.5024235911,30218.3210648985
55729.6323036831,29923.458146385
55748.2757973423,29984.5161823396
55742.9650103301,29944.6566693788
55721.7420977889,29708.1335465999
55683.0149968078,29590.9142350049
55621.2188486107,29255.7255122191
55539.7777211358,29231.0926097678
55451.9124326254,29197.6759156293
55348.3845016892,29239.6684704664
55236.8394646642,28910.0788918758
55143.0016445809,28921.1643056464
55049.4226557308,28707.1402526541
54972.6875483311,28422.5535078186
54872.9920213802,28548.2298204385
54779.2407484667,28547.0457967098
54682.1489732125,28397.521614866
54598.0463460636,28322.5655157639
54535.535759377,28233.2732651913
54495.3103526551,28414.2510813251
54475.5934662822,28471.52412809
54467.9018852129,28499.537395683
54444.3188976156,28643.2882810487
54439.6718939119,28611.0956728669
54458.1911808869,28781.4674163656
54464.4503447186,28934.7361292555
54472.7797923286,29435.2924707435
54456.1804297718,29942.1517147139
54448.357359739,30380.7020372153
54444.7412464127,31194.7534460259
54450.9356434296,31694.9528709246
54444.3595849609,32733.9380483432
54441.7580550113,34084.217599493
54435.4498021608,35119.0967856132
54397.3814687686,36342.4541470354
54374.3461015573,37874.8162600032
54364.6208940191,39038.3047942137
54359.2012337189,40563.6001257136
54355.4283783765,42114.0375604575
54347.586544838,43722.3300395041
54363.2516107387,45476.2618269468
54392.3473959865,47498.5932868771
54414.1256139203,48890.7890087671
54464.1362004979,49858.4372676188
54509.7149508556,51694.9174917568
54559.6528878746,52460.5185803698
40034.0771028963,54200.2177416379
40062.1500582627,55907.6002323577
40398.2994049698,57486.4270445453
40132.3907519488,59060.4250795418
39789.4060037385,60395.0170325813
82596.6672947392,61658.8403432618
82871.3572688838,62906.507487558
83208.5771695023,64462.1581234143
83605.4016037549,65639.0534241443
84062.7223080374,66998.7492774502
84575.1873009765,68522.7927699774
85127.2893643604,69694.251699558
85705.3940698608,70397.3898461499
86318.958613462,71743.6361052563
86993.5161328764,72016.009009592
87721.9706636142,72798.0399120185
88516.6163447963,73176.8419175955
89323.3650967468,73584.1437028546
90087.1649481704,73916.1357194012
90856.7161297207,73658.3945977411
91568.9726739748,73490.0495931817
92319.2703332749,73387.2903335844
93078.3748333311,73676.9668324087
93865.5673152423,73043.0083497071
94662.5762829801,72839.0917049104
95399.0029781719,72353.5918088886
96129.6552418656,71289.0912893583
96831.315273191,70103.4189166524
97536.8803494511,69697.054968615
98230.0500572202,68577.604747209
98935.3609736795,67895.080241572
99628.7527923511,66909.4803444862
100257.710522029,66122.1147115989
100831.87506304,65477.997624785
101376.124818008,64822.0947527901
101855.49867371,63506.7182290771
102349.102587256,62376.0722257481
102779.176053377,61222.2435007265
103168.994396056,61001.8579885689
103499.876324001,60302.5146558539
103696.004936633,59897.1991742201
103823.150298403,59232.8669559466
103890.596352259,58252.1591817045
103961.804145219,57742.5618416643
103962.014401605,56649.604344583
103941.66630766,55900.3128375227
103871.586434286,55111.7703889879
103682.630551939,54287.218514907
48688.7798563813,53492.6263968337
50924.5421846791,52947.733410497
53703.361194281,52168.7236820661
56532.4811227419,51749.8031395645
58063.5887552457,50424.0448548778
56884.7736728891,50161.6206327053
56880.3920451436,49782.332397134
56875.904930537,49676.2642834546
56869.9006455101,49460.9439978527
56862.1761695358,49010.7206340061
56851.5613355818,49063.4004177296
56843.1350759829,49138.4614874402
56835.1259128146,49176.8227131671
56827.7419009215,48927.8702941651
56822.7272725636,48009.3494732598
56816.9297506904,47102.0563170593
56810.5904701271,46277.6595170165
56799.8357467371,45641.24688986
56783.9943127782,45675.4718544559
56766.2681365184,45559.5830570231
56745.4786447921,45589.1908400066
56723.7087252355,45518.9207855428
56701.7166738232,45321.2067395388
56675.1464114343,45182.2674810453
56653.1736883107,45233.5994285355
56618.3530412928,45195.1876733232
56586.5828484983,45092.5777776264
56565.483768121,45610.3503909652
56550.5924964446,47628.981944157
56547.4172224186,48535.3031395645
56545.5052971101,48892.2780390649
56558.1166593999,49679.8055895957
