"MKCD_SVM","SVM"
17015.2822265548,12267.4921831276
16565.1522515961,11863.730337706
15871.1797774931,11223.3430281859
15380.9940232955,10699.1060514908
14690.7934109971,10291.6284071111
13952.8942529391,9745.14764934211
14220.9242622752,9483.90984364941
13911.5998928702,9108.93061139355
14026.355474397,9034.34575518788
14546.1497167741,9134.00282995807
13881.3958660684,8798.83125935154
13478.2834498126,8627.29003445893
12636.8072440585,7981.66631168577
13067.0793819852,7853.46549146566
12537.9733540317,7556.47345357193
12605.4431726396,7272.48650522018
12346.6869675956,7094.27368811544
12077.3014375631,6841.17224080043
11936.0274768857,6568.91556940613
11466.296349864,6046.98206827098
11617.0290627256,5846.93894852308
11442.597403042,5771.81891084652
11609.100336003,5695.12317182317
11853.4017900392,5949.33009252837
11768.5322902409,6125.49048499964
12022.280055918,6218.96087037426
12118.2399746022,6337.41662750984
12982.9305724927,6825.02011388153
12716.1758226951,6986.32561107648
12837.020436566,7045.37450950219
11938.4514845995,6819.86773590933
13285.3595322965,7213.38422001425
13942.4931944282,7727.76991464842
14961.7474276005,8208.68677350905
16574.8118905965,9536.13919498937
16752.760041952,10361.220434919
17024.6034094635,11052.2106564909
18676.5915338017,11940.2603656726
19791.4910360201,13043.377407574
21610.4449039886,14405.952457257
22123.3295112123,15424.8697778604
26443.3579118315,18207.6085249667
26830.957777825,20049.2234197814
28021.2568496637,21222.1502539688
30233.1294679116,23257.3657224348
31777.9928444314,25023.4980232035
35306.3134443179,27302.6239212535
37129.6367677349,29209.058475839
43107.0125254933,33591.4962559119
44484.9722941163,36822.446285682
44628.6373756938,38169.9106817078
47940.9036649938,40866.5479319976
50734.3021502733,43845.1192688249
56332.3050209923,46873.8259613171
57784.1522576264,49436.0925257016
67504.0866789441,55985.1352298054
69334.6111951248,60711.4310705014
69331.6800935064,62875.7782559129
74770.9007595974,66658.8568870225
78204.7624269605,71100.160905316
84886.0510091491,74899.2985997083
85737.4194785914,77591.8624718858
96592.9797831067,85320.0809415774
98770.1954119322,90552.4001366958
98253.455906413,92563.477223435
104144.395259716,96471.2357349403
105585.623918904,100068.470388158
115015.040846227,104376.773348218
113351.275465116,106200.605930633
122203.665051417,112656.002403723
123083.103378281,116733.113863656
122604.189181578,117691.993189571
127702.805320727,121200.282519199
129070.23729565,123579.484565454
136658.258344647,126701.616128925
132348.076900464,127786.131167892
140323.606302816,132777.160643247
143086.728112132,136286.397384883
140899.101451469,136687.317109976
144707.899986117,139274.103803381
143979.200818528,141183.929545617
151161.942678176,142977.54342145
148516.560979778,144756.118700537
153555.998904919,147965.916276797
154860.177536258,150317.399160027
151377.963651218,150189.264004556
157137.83533922,152424.204937683
156015.274899659,154003.074605113
165295.368530248,156947.416096341
161675.949673789,158949.321520515
160922.123301174,159944.882178354
160686.365929275,160281.061967397
158817.603322739,159465.761789486
